"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3148","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Sat Feb 21 09:07:53 GMT 2026","passed","Sat Feb 21 09:07:57 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1902","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Sat Feb 21 09:07:51 GMT 2026","passed","Sat Feb 21 09:07:53 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4359","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Sat Feb 21 09:08:00 GMT 2026","passed","Sat Feb 21 09:08:04 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1952","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Sat Feb 21 09:07:42 GMT 2026","passed","Sat Feb 21 09:07:44 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1905","[12/20] Validate redirect: /press","Desktop Chromium","Sat Feb 21 09:07:47 GMT 2026","passed","Sat Feb 21 09:07:49 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1978","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Sat Feb 21 09:07:44 GMT 2026","passed","Sat Feb 21 09:07:46 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2247","[4/20] Validate redirect: /opportunities","Desktop Chromium","Sat Feb 21 09:07:31 GMT 2026","passed","Sat Feb 21 09:07:34 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","7935","smoke: basic navigation works","Desktop Chromium","Sat Feb 21 09:07:28 GMT 2026","passed","Sat Feb 21 09:07:36 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","3192","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Sat Feb 21 09:07:57 GMT 2026","passed","Sat Feb 21 09:08:00 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1763","smoke: homepage loads with correct title for Virufy","Desktop Chromium","Sat Feb 21 09:07:25 GMT 2026","passed","Sat Feb 21 09:07:26 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1905","[11/20] Validate redirect: /paper","Desktop Chromium","Sat Feb 21 09:07:46 GMT 2026","passed","Sat Feb 21 09:07:47 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1931","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Sat Feb 21 09:07:38 GMT 2026","passed","Sat Feb 21 09:07:40 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2092","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Sat Feb 21 09:07:49 GMT 2026","passed","Sat Feb 21 09:07:51 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1188","smoke: footer section is present","Desktop Chromium","Sat Feb 21 09:07:36 GMT 2026","passed","Sat Feb 21 09:07:37 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1955","[3/20] Validate redirect: /team/","Desktop Chromium","Sat Feb 21 09:07:29 GMT 2026","passed","Sat Feb 21 09:07:31 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4904","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Sat Feb 21 09:08:04 GMT 2026","passed","Sat Feb 21 09:08:09 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2007","[6/20] Validate redirect: /join","Desktop Chromium","Sat Feb 21 09:07:36 GMT 2026","passed","Sat Feb 21 09:07:38 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1926","[8/20] Validate redirect: /donate","Desktop Chromium","Sat Feb 21 09:07:40 GMT 2026","passed","Sat Feb 21 09:07:42 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
